text,label
lose weight quickly,weight_loss
burn fat with cardio,weight_loss
slim down and get lean,weight_loss
fat burning workout,weight_loss
drop pounds with hiit,weight_loss
light cardio for weight loss,weight_loss
calorie burning session,weight_loss
reduce body fat,weight_loss
cutting fat program,weight_loss
get lean and tone,weight_loss
build muscle size,muscle_gain
gain strength and mass,muscle_gain
bulking workout plan,muscle_gain
hypertrophy training session,muscle_gain
upper body strength training,muscle_gain
dumbbell workout for muscle,muscle_gain
lift weights to build muscle,muscle_gain
stronger chest and arms,muscle_gain
increase muscle definition,muscle_gain
strength focused routine,muscle_gain
full body stretching routine,flexibility
improve flexibility and range,flexibility
gentle yoga session,flexibility
hamstring stretch sequence,flexibility
loosen tight hips,flexibility
mobility and stretching,flexibility
relaxing stretch workout,flexibility
increase range of motion,flexibility
flexibility training plan,flexibility
post workout stretching,flexibility
improve stamina and endurance,endurance
cardio endurance training,endurance
long steady state cardio,endurance
run longer with stamina,endurance
boost cardiovascular endurance,endurance
aerobic conditioning workout,endurance
intervals for stamina,endurance
endurance building routine,endurance
cycling endurance session,endurance
conditioning for longer workouts,endurance
core strength routine,core_strength
strong abs and core,core_strength
plank focused workout,core_strength
core stability exercises,core_strength
strengthen midsection,core_strength
abdominal strength training,core_strength
lower back and core work,core_strength
anti rotation core training,core_strength
dead bug core exercise,core_strength
side plank core work,core_strength
balance training exercises,balance
improve balance and stability,balance
single leg balance practice,balance
better coordination and balance,balance
ankle stability work,balance
steady on one leg,balance
balance and control drills,balance
proprioception training,balance
posture and balance work,balance
heel to toe balance walk,balance
